SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,June-24-2022,Single Family Residential,28824 Vista Grande,Hayward,CA,94544,1725000,4,3.0,Hayward Hills,2734,5446,2018,,631,141,Sold,,,https://www.redfin.com/CA/Hayward/28824-Vista-Grande-Dr-94544/home/143116840,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40990399,N,Y,37.6366683,-122.0453454
PAST SALE,September-2-2022,Condo/Co-op,6400 Christie Ave #4324,Emeryville,CA,94608,465000,1,1.0,Emeryville,743,286590,1988,,626,519,Sold,,,https://www.redfin.com/CA/Emeryville/6400-Christie-Ave-94608/unit-4324/home/731471,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40996418,N,Y,37.846127,-122.2954793
PAST SALE,September-1-2022,Single Family Residential,117 Tamalpais Rd,Berkeley,CA,94708,1100000,4,2.5,Berkeley Hills,3124,6500,1928,,352,,Sold,,,https://www.redfin.com/CA/Berkeley/117-Tamalpais-Rd-94708/home/689793,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40996232,N,Y,37.8856318,-122.2600937
PAST SALE,August-12-2022,Single Family Residential,24142 Amaranth Loop,Hayward,CA,94541,1200000,3,3.5,Hayward,2005,1678,2020,,599,240,Sold,,,https://www.redfin.com/CA/Hayward/24142-Amaranth-Loop-94541/home/168818769,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40999862,N,Y,37.6683674,-122.0716935
PAST SALE,July-25-2022,Condo/Co-op,311 4Th St,Oakland,CA,94607,1100000,2,2.0,Alameda,1640,45000,1929,,671,620,Sold,,,https://www.redfin.com/CA/Oakland/311-4th-St-94607/home/167187755,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40998778,N,Y,37.7960686,-122.2726725
PAST SALE,July-15-2022,Single Family Residential,3845 Fiano Cmn,Fremont,CA,94555,1605000,4,3.5,FREMONT,2059,2040,2017,,780,144,Sold,,,https://www.redfin.com/CA/Fremont/3845-Fiano-Cmn-94555/home/112886367,MLSListings,ML81893108,N,Y,37.5778629,-122.0447904
PAST SALE,June-7-2022,Condo/Co-op,414 29Th Ave #1,Oakland,CA,94601,480000,1,2.0,Oakland,860,6240,2017,,558,477,Sold,,,https://www.redfin.com/CA/Oakland/414-29th-Ave-94601/unit-1/home/17188225,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40988010,N,Y,37.7730254,-122.2348664
PAST SALE,August-30-2022,Condo/Co-op,248 Anderly Ct #14,Hayward,CA,94541,535000,2,2.0,Cherryland,940,53323,1992,,569,514,Sold,,,https://www.redfin.com/CA/Hayward/248-Anderly-Ct-94541/unit-14/home/977629,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41002234,N,Y,37.674121,-122.1058737
PAST SALE,August-18-2022,Townhouse,8517 Seawind Way,Newark,CA,94560,888888,2,2.5,NEWARK,1424,7982,2019,,624,377,Sold,,,https://www.redfin.com/CA/Newark/8517-Seawind-Way-94560/home/146414571,MLSListings,ML81896631,N,Y,37.5201461,-122.0496527
PAST SALE,June-16-2022,Single Family Residential,4831 Fairfax Ave,Oakland,CA,94601,820000,2,1.0,Maxwell Pk Area,960,3268,1925,,854,,Sold,,,https://www.redfin.com/CA/Oakland/4831-Fairfax-Ave-94601/home/1268030,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40992986,N,Y,37.7779903,-122.2030497
PAST SALE,August-23-2022,Single Family Residential,38746 Buckboard Cmn,Fremont,CA,94536,1400000,3,2.5,FREMONT,1780,3348,1988,,787,91,Sold,,,https://www.redfin.com/CA/Fremont/38746-Buckboard-Cmn-94536/home/1559190,MLSListings,ML81893325,N,Y,37.5639747,-121.9709282
PAST SALE,August-24-2022,Condo/Co-op,817 Tranquility Cir #9,Livermore,CA,94551,930000,3,3.5,Livermore,1508,,2018,,617,360,Sold,,,https://www.redfin.com/CA/Livermore/817-Tranquility-Cir-94551/unit-9/home/143115686,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41001686,N,Y,37.7018748,-121.7939322
PAST SALE,September-2-2022,Single Family Residential,277 Mavis Dr,Pleasanton,CA,94566,1445000,4,2.0,Heritage Gardens,1986,5125,1991,,728,105,Sold,,,https://www.redfin.com/CA/Pleasanton/277-Mavis-Dr-94566/home/1407799,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41003337,N,Y,37.6636336,-121.8607753
PAST SALE,August-24-2022,Single Family Residential,6409 Zinn Dr,Oakland,CA,94611,1400000,4,2.0,Montclair,2179,5988,1980,,642,,Sold,,,https://www.redfin.com/CA/Oakland/6409-Zinn-Dr-94611/home/1001994,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41000487,N,Y,37.8303554,-122.203759
PAST SALE,August-18-2022,Single Family Residential,6915 Norfolk Rd,Berkeley,CA,94705,1850000,4,2.5,Claremont Hills,3401,8945,1999,,544,,Sold,,,https://www.redfin.com/CA/Berkeley/6915-Norfolk-Rd-94705/home/1042555,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41001186,N,Y,37.8581291,-122.2252592
PAST SALE,August-12-2022,Condo/Co-op,38623 Cherry Ln #223,Fremont,CA,94536,700000,3,2.0,FREMONT,1101,,1974,,636,435,Sold,,,https://www.redfin.com/CA/Fremont/38623-Cherry-Ln-94536/unit-223/home/1057774,MLSListings,ML81900185,N,Y,37.5655494,-121.9738405
PAST SALE,June-9-2022,Single Family Residential,1823 El Padro Dr,Livermore,CA,94550,1190000,3,2.0,Sunset,1641,7514,1963,,725,,Sold,,,https://www.redfin.com/CA/Livermore/1823-El-Padro-Dr-94550/home/1009329,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40991462,N,Y,37.6616975,-121.7925304
PAST SALE,,Single Family Residential,1020 Jones St Unit A,Berkeley,CA,94710,1200000,3,2.0,,1082,5376,1929,,1109,,,,,https://www.redfin.com/CA/Berkeley/1020-Jones-St-94710/unit-A/home/1745455,,,N,Y,37.8759216,-122.2957636
PAST SALE,July-15-2022,Single Family Residential,34323 Mulberry Ter,Fremont,CA,94555,1750000,4,2.5,Ardenwood,1771,3726,1992,,988,40,Sold,,,https://www.redfin.com/CA/Fremont/34323-Mulberry-Ter-94555/home/1738686,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40995626,N,Y,37.5588585,-122.0588643
PAST SALE,June-15-2022,Single Family Residential,14822 Lark St,San Leandro,CA,94578,870000,2,1.0,SAN LEANDRO,1018,5400,1946,,855,,Sold,,,https://www.redfin.com/CA/San-Leandro/14822-Lark-St-94578/home/1449748,MLSListings,ML81889058,N,Y,37.7106836,-122.1304043
PAST SALE,August-23-2022,Condo/Co-op,34785 Mosaic Cmn #27,Fremont,CA,94555,720000,2,2.0,FREMONT,930,,1987,,774,425,Sold,,,https://www.redfin.com/CA/Fremont/34785-Mosaic-Cmn-94555/unit-27/home/1378820,MLSListings,ML81892972,N,Y,37.5623316,-122.0451801
PAST SALE,,Condo/Co-op,7445 Brigadoon Way #227,Dublin,CA,94568,1045000,3,3.0,,1520,,1996,,688,,,,,https://www.redfin.com/CA/Dublin/7445-Brigadoon-Way-94568/unit-227/home/1185009,,,N,Y,37.7009723,-121.9579529
PAST SALE,July-29-2022,Condo/Co-op,37326 Spruce Ter,Fremont,CA,94536,434500,1,1.0,FREMONT,593,,1986,,733,330,Sold,,,https://www.redfin.com/CA/Fremont/37326-Spruce-Ter-94536/home/12119129,MLSListings,ML81899583,N,Y,37.5614507,-122.004205
PAST SALE,June-16-2022,Single Family Residential,3461 Joaquin Miller Rd,Oakland,CA,94602,1650000,3,2.0,Joaquin Miller,1791,4340,1965,,921,,Sold,,,https://www.redfin.com/CA/Oakland/3461-Joaquin-Miller-Rd-94602/home/1495830,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40990850,N,Y,37.80935,-122.1854029
